Movie,Year,budget,runtime,genres,popularity,vote_average,vote_count,Views,Likes,Comments,IMDb_Rating,numVotes,Gross
Eine Million Minuten,2024.0,0,0,Drama,0.606,0.0,0,1505442.0,1547.0,252.0,,,11077140.0
Past Lives,2023.0,0,15,"Drama, Fantasy",0.6,0.0,0,10430573.0,153524.0,4707.0,7.8,150770.0,41922628.0
La familia Benetón,2024.0,0,0,,0.706,0.0,0,61042.0,212.0,23.0,4.4,398.0,4111890.0
Dream,2023.0,0,9,"Drama, Music",0.6,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
El Roomie,2024.0,0,99,Comedy,0.0,0.0,0,2291480.0,6692.0,140.0,5.9,307.0,4418253.0
Article 370,2024.0,0,0,Drama,0.833,0.0,0,826028.0,8824.0,541.0,7.8,24661.0,13222021.0
Queen Rock Montreal,2024.0,0,96,Music,0.0,0.0,0,114111.0,1727.0,128.0,8.5,788.0,2537304.0
Matka v trapu,2024.0,0,0,Comedy,0.0,0.0,0,172153.0,705.0,41.0,4.2,76.0,1477538.0
Dog Days,2024.0,0,3,"Animation, Comedy",1.4,0.0,0,27777.0,294.0,17.0,6.7,314.0,2658318.0
National Theatre Live: The Motive and the Cue,2024.0,0,160,Drama,0.0,0.0,0,74691.0,544.0,58.0,8.5,193.0,1338772.0
Mai,2024.0,0,131,Drama,0.0,0.0,0,161220.0,778.0,142.0,6.8,1516.0,21714524.0
Breaking Point,2024.0,0,23,Drama,0.0,0.0,0,3773.0,13.0,0.0,,,3532131.0
Missing,2023.0,0,15,Thriller,1.112,0.0,0,17677295.0,36418.0,2204.0,7.1,67315.0,48767848.0
La ferme des Bertrand,2024.0,0,0,Documentary,0.0,0.0,0,1602.0,11.0,0.0,,,1719910.0
Peppa's Cinema Party,2024.0,0,0,Animation,0.0,0.0,0,869704.0,1813.0,0.0,5.0,155.0,3473576.0
National Theatre Live: Dear England,2024.0,0,0,Drama,0.0,0.0,0,81394.0,370.0,82.0,8.1,138.0,1485050.0
Nedelja,2024.0,0,0,Drama,0.957,0.0,0,7522.0,42.0,0.0,7.2,1879.0,1905017.0
Lohusa,2024.0,0,0,"Comedy, Romance",0.6,0.0,0,6617112.0,61876.0,592.0,5.3,2852.0,8702629.0
Mai,2024.0,0,0,Romance,0.0,0.0,0,161220.0,778.0,142.0,6.8,1516.0,21714524.0
Onegin,2024.0,0,0,"Drama, Romance",0.0,0.0,0,84339.0,522.0,17.0,7.0,1206.0,8481968.0
Radical,2023.0,0,127,Drama,37.482,0.0,0,1926238.0,3412.0,216.0,7.8,6692.0,21356027.0
Spy x Family Code: White,2023.0,0,0,"Animation, Comedy, Adventure, Action",30.097,0.0,0,1614916.0,26092.0,945.0,7.3,6908.0,57830917.0
American Fiction,2023.0,0,117,"Comedy, Drama",6.826,0.0,0,11584592.0,43219.0,2639.0,7.5,110294.0,22483370.0
Love Reset,2023.0,0,119,"Romance, Comedy",22.778,0.0,0,752916.0,9095.0,271.0,6.8,2458.0,18425272.0
Maison de retraite 2,2024.0,0,0,Comedy,0.987,0.0,0,382450.0,1735.0,228.0,,,11196943.0
Anyone But You,2023.0,0,0,"Comedy, Romance",5.399,0.0,0,12573917.0,24129.0,1245.0,6.1,144546.0,219418334.0
Ocho apellidos marroquís,2023.0,0,0,Comedy,2.088,0.0,0,2550316.0,2429.0,1242.0,,,13999590.0
Thanksgiving,2023.0,0,107,"Horror, Thriller",9.07,0.0,0,25860269.0,79255.0,5539.0,6.2,70867.0,46553280.0
Night Swim,2024.0,0,0,"Horror, Thriller",2.412,0.0,0,14982586.0,40873.0,2999.0,4.7,27314.0,54075969.0
Wish,2023.0,200000000,92,"Animation, Family, Fantasy, Adventure",40.803,0.0,0,15546539.0,82365.0,14850.0,5.6,46614.0,254971753.0
Wish,2023.0,200000000,92,"Animation, Family, Fantasy, Adventure",40.803,0.0,0,15546539.0,82365.0,14850.0,,,254971753.0
The Roundup: Punishment,2024.0,0,0,"Crime, Action",3.265,0.0,0,277601.0,1246.0,39.0,6.6,5273.0,29793438.0
Priscilla,2023.0,0,110,"Drama, Romance",9.133,0.0,0,12915531.0,73218.0,5361.0,6.5,46924.0,32958807.0
Immaculate,2024.0,0,0,"Horror, Mystery",2.254,0.0,0,1402474.0,7040.0,558.0,5.8,52728.0,22314913.0
Matching,2024.0,0,0,,1.252,0.0,0,14780.0,172.0,7.0,,,5348492.0
The Shift,2023.0,0,68,Documentary,0.6,0.0,0,1071770.0,9296.0,1564.0,5.5,5813.0,12238643.0
14 jours pour aller mieux,2024.0,0,0,Comedy,1.4,0.0,0,404487.0,1544.0,177.0,,,2357682.0
Imaginary,2024.0,0,0,Horror,2.757,0.0,0,16334128.0,96286.0,3884.0,4.7,17248.0,39123048.0
Silent Night,2023.0,0,10,,0.6,0.0,0,16353887.0,70376.0,5837.0,5.3,25402.0,11067228.0
Mobile Suit Gundam Seed Freedom,2024.0,0,0,"Animation, Science Fiction, Action",2.505,0.0,0,901145.0,10877.0,1471.0,6.6,953.0,30149103.0
Valle de sombras,2024.0,0,0,"Adventure, Thriller, Drama",1.073,0.0,0,177427.0,376.0,61.0,,,1805813.0
El correo,2024.0,5433025,0,"Thriller, Comedy",1.173,0.0,0,2769213.0,2990.0,101.0,,,1751343.0
Animal,2023.0,0,15,,1.4,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,15,,1.4,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
Wish,2023.0,0,66,"Drama, Romance",1.415,0.0,0,15546539.0,82365.0,14850.0,5.6,46614.0,254971753.0
Wish,2023.0,0,66,"Drama, Romance",1.415,0.0,0,15546539.0,82365.0,14850.0,,,254971753.0
The Little Mermaid,2023.0,0,98,"Animation, Family, Adventure, Comedy",4.143,0.0,0,27786523.0,375357.0,78212.0,3.2,183.0,569626289.0
The Little Mermaid,2023.0,0,98,"Animation, Family, Adventure, Comedy",4.143,0.0,0,27786523.0,375357.0,78212.0,7.2,171479.0,569626289.0
Verliefd op Bali,2024.0,0,0,,1.085,0.0,0,79630.0,151.0,17.0,,,3069304.0
Pare parecchio Parigi,2024.0,0,0,Comedy,0.995,0.0,0,736845.0,918.0,118.0,5.3,365.0,3445925.0
No Way Up,2024.0,0,0,"Action, Adventure, Drama",1.956,0.0,0,1211975.0,5741.0,791.0,4.6,10509.0,4412364.0
