Unnamed: 0,Year,Movie,Video_ID,Views,Likes,Comments,IMDb_Rating,numVotes,key,Gross,clean_title
151,2023.0,Only 3 Days Left,S8bZua_hILI,8084.0,23.0,0.0,5.2,1357.0,only 3 days left,14985705.0,only 3 days left
152,2023.0,Open Season,qo6Vbg4rB-w,2710.0,10.0,1.0,5.7,1060.0,open season,14961612.0,open season
153,2023.0,A Guilty Conscience,BsqYkGb50Sg,48437.0,80.0,0.0,7.2,2144.0,a guilty conscience,14911562.0,a guilty conscience
154,2023.0,Epic Tails,BH0rkCQjTfI,940621.0,909.0,86.0,,,epic tails,14854710.0,epic tails
155,2023.0,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,o3SOAPdVtfA,26004.0,124.0,25.0,6.2,385.0,tokyo revengers 2 bloody halloween  decisive battle,14584970.0,tokyo revengers 2 bloody halloween  decisive battle
156,2023.0,Dr. Cheon and Lost Talisman,6NuQArwFhlA,199457.0,1392.0,74.0,5.9,1117.0,dr cheon and lost talisman,14574445.0,dr cheon and lost talisman
157,2023.0,Sisu,2NnPzpuU5ao,8651287.0,108107.0,7771.0,,,sisu,14281199.0,sisu
158,2023.0,Rehragout-Rendezvous,sx0oIVPKGhU,4914135.0,11129.0,402.0,6.4,1100.0,rehragoutrendezvous,14127069.0,rehragoutrendezvous
159,2023.0,Ocho apellidos marroquís,5FLMMzpmunI,2550316.0,2429.0,1242.0,,,ocho apellidos marroquís,13999590.0,ocho apellidos marroquís
160,2023.0,Jeanne du Barry,EEvZS2cXy7o,478782.0,3156.0,0.0,6.7,14754.0,jeanne du barry,13818536.0,jeanne du barry
161,2023.0,His Only Son,E-qP5puRv1Q,83660.0,462.0,96.0,5.9,2785.0,his only son,13817186.0,his only son
162,2023.0,The Point Men,MCjFhsp6gO4,479506.0,2963.0,137.0,6.0,1859.0,the point men,13433834.0,the point men
163,,,,,,,,,,,nan
164,2023.0,Bottoms,vH5NAahf76s,4140808.0,54996.0,2310.0,6.7,52095.0,bottoms,12966048.0,bottoms
165,2023.0,Championext,kBhjIruQ5SM,293966.0,1284.0,101.0,6.1,1231.0,championext,12877645.0,championext
166,2023.0,Love Again,CQDXtD2HJAs,15179003.0,61975.0,2943.0,5.9,17331.0,love again,12696584.0,love again
167,2023.0,Love Again,CQDXtD2HJAs,15179003.0,61975.0,2943.0,4.3,19.0,love again,12696584.0,love again
168,2023.0,Three heroes and the Navel of the Earth,2bX0JZwv7fc,46861.0,193.0,0.0,5.0,257.0,three heroes and the navel of the earth,12597251.0,three heroes and the navel of the earth
169,2023.0,Dream Scenario,q3x9iUL-74w,9778894.0,89828.0,4796.0,6.8,84587.0,dream scenario,12451752.0,dream scenario
170,2023.0,The Shift,Tl7rtMiOrvY,1071770.0,9296.0,1564.0,5.5,5813.0,the shift,12238643.0,the shift
171,2023.0,Salaar,4GPvYMKtrtI,53220076.0,1470654.0,71302.0,6.6,75069.0,salaar,11958548.0,salaar
172,2023.0,Beau Is Afraid,PuiWDn976Ek,10836925.0,149525.0,9324.0,6.6,71391.0,beau is afraid,11955354.0,beau is afraid
